datasetid;title;description;theme;keyword;license;license_url;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;federated;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;dcat_ap_ch.domain;dcat_ap_ch.rights;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
place-de-la-nation-mesure-de-buit-valeur-maximum;Place de la Nation - mesure de bruit - valeur maximum;"<p>La Ville accompagne une expérimentation proposée par Cisco place de la Nation qui vise à mesurer les différents usages liés aux déplacements sur la place (véhicules motorisés, vélos, piétons) ainsi que les pollutions atmosphériques et sonores.</p><p>A compter de décembre 2015 et pendant une durée d’un an, une cinquantaine de capteurs situés tout au long de la place mesureront et analyseront en temps réel l'usage fait de la place.</p><p>En savoir plus ici: <a href=""https://frama.link/pariscapteurs"">https://frama.link/pariscapteurs</a></p><p>Ce jeu de données reprend la valeur maximum sur une heure [note: statut expérimental – variation valide – valeur exacte peut différer de celles présentées ici de quelques unités – l’ordre de grandeur reste néanmoins valide]</p><p>N.B.: laeq explications -&gt; <a href=""https://nomades.apps.paris.fr/owa/,DanaInfo=webmail.apps.paris.mdp,SSL+redir.aspx?REF=g9Xaqfvom5UPWr-XkV64qJhsauKoZz7ON0JwHXtMXmrQFWEe6J_TCAFodHRwOi8vd3d3LmJydWl0cGFyaWYuZnIvZ2xvc3NhcnkvNC9sZXR0ZXJsIy5WdnoxU1JLTFNFSQ.."">http://www.bruitparif.fr/glossary/4/letterl#.Vvz1SRKLSEI</a></p><p>Le référentiel des capteurs est disponible ici: <a href=""http://opendata.paris.fr/explore/dataset/place-de-la-nation-emplacements-capteurs-bruits/"">http://opendata.paris.fr/explore/dataset/place-de-la-nation-emplacements-capteurs-bruits/</a></p><p>Les valeurs nulles (égales à 0) signifient que la mesure n'a pas été effectuée à cause d'un souci technique. </p>";Equipements, Services, Social;IoT, capteurs, bruit, pollution;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-06-28T10:01:15+00:00;;;2017-05-14T06:53:40+00:00;2017-05-14T06:53:41+00:00;Mairie de Paris ;;247749;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;507
place-de-la-nation-mesures-de-bruit-valeur-minimum;Place de la Nation - Mesures de bruit - valeur minimum;"<p>La Ville accompagne une expérimentation proposée par Cisco place de la Nation qui vise à mesurer les différents usages liés aux déplacements sur la place (véhicules motorisés, vélos, piétons) ainsi que les pollutions atmosphériques et sonores.</p><p>A compter de décembre 2015 et pendant une durée d’un an, une cinquantaine de capteurs situés tout au long de la place mesureront et analyseront en temps réel l'usage fait de la place.</p><p>En savoir plus ici: <a href=""https://frama.link/pariscapteurs"">https://frama.link/pariscapteurs</a></p><p>Ce jeu de données reprend la valeur minimum sur une heure [note: statut expérimental – variation valide – valeur exacte peut différer de celles présentées ici de quelques unités – l’ordre de grandeur reste néanmoins valide]</p><p>N.B.: laeq explications -&gt; <a href=""https://nomades.apps.paris.fr/owa/,DanaInfo=webmail.apps.paris.mdp,SSL+redir.aspx?REF=g9Xaqfvom5UPWr-XkV64qJhsauKoZz7ON0JwHXtMXmrQFWEe6J_TCAFodHRwOi8vd3d3LmJydWl0cGFyaWYuZnIvZ2xvc3NhcnkvNC9sZXR0ZXJsIy5WdnoxU1JLTFNFSQ.."">http://www.bruitparif.fr/glossary/4/letterl#.Vvz1SRKLSEI</a></p><p>Le référentiel des capteurs est disponible ici: <a href=""http://opendata.paris.fr/explore/dataset/place-de-la-nation-emplacements-capteurs-bruits/"">http://opendata.paris.fr/explore/dataset/place-de-la-nation-emplacements-capteurs-bruits/</a></p><p>Les valeurs nulles (égales à 0) signifient que la mesure n'a pas été effectuée à cause d'un souci technique.</p>";Equipements, Services, Social;capteurs, bruit, IoT, pollution;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-06-29T06:52:26+00:00;;;2017-05-14T07:06:38+00:00;2017-05-14T07:06:39+00:00;Mairie de Paris ;;229697;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;975
recrutement-direct-bilan-social;Recrutement direct - Bilan Social;"<p>Le bilan social de la collectivité parisienne fournit, chaque année, les informations quantitatives mais aussi qualitatives sur les ressources humaines de la Ville de Paris. Il retrace l’évolution des principaux indicateurs relatifs à la politique des ressources humaines, qu’il s’agisse des effectifs, des rémunérations, de l’hygiène et de la sécurité, des carrières et de la formation ou encore des conditions de travail et des relations sociales.</p><table> <tbody><tr> <td>COLLECTIVITE</td> <td>Commune   ou Département. </td> </tr> <tr> <td>CORPS   ET GRADES </td> <td>Chaque fonctionnaire appartient à un corps classé en catégorie A, B ou   C. Dans ce corps, il est titulaire d'un grade. Les corps regroupent des fonctionnaires   soumis à un même ensemble de règles appelé <em><a href=""http://vosdroits.service-public.fr/particuliers/F12344.xhtml#R17710"">statut particulier</a></em>   qui estfixé par décret ou délibération.</td> </tr> <tr> <td>EMPLOIS   ET NIVEAUX</td> <td>un choix a   été fait pour le bilan social, d’utiliser, pour les non titulaires, les   termes d’emploi et de niveau plutôt que ceux de corps et grade, pour éviter   toute confusion avec les titulaires. Ils doivent être considérés comme   synonymes.   </td> </tr> <tr> <td>PERSONNES   PHYSIQUES, EQUIVALENT TEMPS PLEIN</td> <td>Les   effectifs peuvent être mesurés de différentes façons. Il est ainsi possible de   les comptabiliser en additionnant le nombre d’agents (effectifs en personnes   physiques) ; il est aussi possible de les comptabiliser en additionnant   leur quotité de temps de travail (effectifs en équivalent temps plein). Les effectifs sont très   généralement mesurés dans le bilan social au dernier jour de l’année civile.</td> </tr> <tr> <td>ACTIVITE <strong></strong> </td> <td>L'activité est la position du fonctionnaire qui,   titulaire d'un grade, exerce effectivement les fonctions de l'un des emplois   correspondant à ce grade.</td> </tr> <tr> <td>MISE   A DISPOSITION</td> <td>La mise à disposition est la situation du   fonctionnaire qui demeure dans son corps d'origine, est réputé occuper son   emploi, continue à percevoir la rémunération correspondante mais qui effectue   son service dans une autre administration que la sienne.</td> </tr> <tr> <td>DETACHEMENT</td> <td>Le détachement est la position du fonctionnaire   placé hors de son corps d'origine et continuant à bénéficier dans ce corps de   ses droits à avancement et retraite.</td> </tr> <tr> <td>PROMOTION   DE GRADE AU CHOIX ET PAR EXAMEN PROFESSIONNEL</td> <td>C'est une promotion qui a pour effet d’entrainer le   passage d’un fonctionnaire dans un grade supérieur. Cette promotion peut se   réaliser par <strong>avancement au choix ou par avancement après examen   professionnel</strong></td> </tr> <tr> <td>TITULARISATION   SUITE A STAGE</td> <td>Le stage est une période probatoire, destinée à vérifier l'aptitude du   fonctionnaire à exercer ses fonctions, ou une période de formation. À l'issue   de cette période, le stagiaire a vocation à être titularisé. </td> </tr> <tr> <td>CONCOURS</td> <td>Mode de   recrutement ouvert sur dossier ou épreuves dont le nombre de postes offerts   est pré déterminé. <strong>Les concours externes</strong> sont   ouverts aux candidats justifiant d’un certain niveau de diplôme ou de   l’accomplissement de certaines études, à l’exception de certains concours de   catégorie C ouverts sans condition de diplôme ou de formation. <strong>Les   concours internes </strong>sont ouverts aux seuls fonctionnaires et agents   publics en activité ayant accompli une certaine durée de service dans les   conditions prévues par les statuts particuliers.</td> </tr> <tr> <td>RECRUTEMENT   DIRECT DE FONCTIONNAIRES</td> <td>La   fonction publique recrute principalement par concours, cependant certains   dispositifs permettent d'accéder directement à un corps de fonctionnaires   sans passer de concours </td> </tr> <tr> <td>TITULAIRES   ET NON TITULAIRES</td> <td>le terme   de non-titulaire peut désigner tout agent public qui n’a pas le statut de   titulaire (ou de fonctionnaire). Dans une acception plus restrictive, le   terme de non-titulaire désigne généralement les agents qui ne sont ni   titulaires, ni assistantes maternelles ni bénéficiaires d’emplois aidés. On   considère généralement comme équivalents les termes de non-titulaire et de contractuel.   Dans leur très grande majorité, les non-titulaires sont des agents de droit   public. </td> </tr> <tr> <td>PYRAMIDE   DES AGES</td> <td>La pyramide des âges représente la   répartition par sexe et âge de la population à un instant donné. La mesure de   l’âge est faite au 31 décembre. La mesure de l’effectif est faite en   personnes physiques en activité</td> </tr> <tr> <td>CONGE   PARENTAL     </td> <td>Le congé parental est un congé non rémunéré pendant lequel   l'agent cesse totalement son activité professionnelle pour élever son enfant.   Il ne peut pas être refusé.</td> </tr> <tr> <td>DISPONIBILITE   </td> <td>La   disponibilité est la situation de l'agent qui se trouve placé temporairement,   hors de son administration ou service d'origine et qui cesse de bénéficier,   durant cette période, de sa rémunération et de ses droits à l'avancement et à   la retraite.</td> </tr> <tr> <td>TITRE</td> <td>Titre   III : personnels relevant des dispositions de la loi sur la fonction publique   territoriale   Titre   IV : personnels relevant des dispositions de la loi sur la fonction publique   hospitalière</td> </tr> <tr> <td>EMPLOIS</td> <td>Intitulé   du corps ou de  l'emploi</td> </tr> <tr> <td>TEMPS   INCOMPLET OU NON COMPLET</td> <td>Un agent à   temps non complet ou incomplet effectue une durée hebdomadaire inférieur à 35   heures sur un emploi qui ne nécessite pas un temps complet.</td> </tr> <tr> <td>TEMPS   DE TRAVAIL : QUOTITE DE TEMPS DE TRAVAIL/TEMPS PARTIEL</td> <td>Un agent à temps partiel choisit de   l'être sur une période donnée. Il peut décider de reprendre ses fonctions à   100 %. Le temps partiel s'exprime en pourcentage du temps complet (par   exemple, 80 %) mais l'agent continue à occuper un emploi à temps   complet. Un agent à temps non complet ne bénéficie pas du temps partiel sur   autorisation</td> </tr> <tr> <td>ACCIDENT   DE TRAVAIL </td> <td>Est considéré comme accident de travail, quelle qu’en soit la   cause, l’accident survenu par le fait ou à l’occasion du travail </td> </tr> <tr> <td>ACCIDENT   DE TRAJET</td> <td>Est considéré comme   accident de trajet tout accident qui survient: entre la résidence principale   et le lieu de travail, entre le lieu de travail et le lieu où l’agent prend   habituellement ses repas.</td> </tr> <tr> <td>CATEGORIE</td> <td>Classement   hiérarchique des emplois selon les 3 catégories A, B ou C correspondant au   niveau de recrutement et de rémunération.</td> </tr> <tr> <td>FORMATION</td> <td><strong>La formation accompagne les agents tout au long de   leur parcours professionnel.</strong><strong></strong><strong>L'offre   de formation proposée a notamment pour objet de répondre à :</strong><strong></strong><strong>- une exigence de professionnalisation   des agents sur leurs postes de travail ; - des souhaits d'évolution   professionnelle et de promotion individuelle</strong><strong></strong>( préparations   aux concours et examens professionnels ; cours de remise à niveau et de   perfectionnement); <strong>- la volonté d'accompagner le   changement au sein des directions.</strong> <strong>Dans le bilan social les données sont présentées   par catégorie hiérarchique et par thèmes</strong><strong>. </strong>Par catégorie, la recension est faite en   comptabilisant le nombre d’agents formés, quel que soit le nombre de   formations individualisées que chaque agent    a suivi. Par thèmes, la recension est faite par stagiaire, un même   agent pouvant de la sorte être comptabilisé plusieurs fois pour autant qu’il   aura reçu plusieurs formations au cours de l’année.<strong></strong> </td> </tr></tbody></table>";Administration et Finances Publiques;agents, recrutement, ressources humaines, Bilan social;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-07-05T15:31:55+00:00;False;False;2017-05-13T14:06:07+00:00;2019-06-11T11:56:10+00:00;Mairie de Paris / Direction des Ressources Humaines;;46;;;;;;False;;;;;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;412
place-de-la-nation-flux;Place de la nation - flux totaux temps réel;"<p>La Ville accompagne une expérimentation proposée par Cisco place de la Nation qui vise à mesurer les différents usages liés aux déplacements sur la place (véhicules motorisés, vélos, piétons) ainsi que les pollutions atmosphériques et sonores.</p><p>A compter de décembre 2015 et pendant une durée d’un an, une cinquantaine de capteurs situés tout au long de la place mesureront et analyseront en temps réel l'usage fait de la place.</p><p>En savoir plus ici: <a href=""https://frama.link/pariscapteurs"">https://frama.link/pariscapteurs</a></p><p>Ce jeu de données rassemble tous les flux mesurés sur la place de la Nation ( piétons, véhicules, piétons) en temps réel.</p><p>Les valeurs nulles (égales à 0) signifient que la mesure n'a pas été effectuée à cause d'un souci technique. </p><p>Le référentiel des capteurs est disponible ici :<a href=""http://opendata.paris.fr/explore/dataset/place-de-la-nation-points-de-mesure-flux/"">http://opendata.paris.fr/explore/dataset/place-de-la-nation-points-de-mesure-flux/ </a></p>";Equipements, Services, Social;IoT, capteur, flux, temps réel;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-07-06T16:03:28+00:00;;;2017-05-14T07:08:17+00:00;2017-05-14T07:08:18+00:00;Mairie de Paris/Direction de la Voirie et des Déplacements;;2198006;;;;;;False;;;;;;;;;toutes les 10 min;;;;;;;;;;;;;;;;;;;;;;;;;;;812
place-de-la-nation-wifi;Place de la Nation - Wifi;"<p>La Ville accompagne une expérimentation proposée par Cisco place de la Nation qui vise à mesurer les différents usages liés aux déplacements sur la place (véhicules motorisés, vélos, piétons) ainsi que les pollutions atmosphériques et sonores.</p><p>A compter de décembre 2015 et pendant une durée d’un an, une cinquantaine de capteurs situés tout au long de la place mesureront et analyseront en temps réel l'usage fait de la place.</p><p>En savoir plus ici: <a href=""https://frama.link/pariscapteurs"">https://frama.link/pariscapteurs</a></p><p>Ces données représentent le nombre de tentatives de connexions aux bornes wifi. Ces données permettent de connaitre l'affluence sur la Place de la Nation à un instant T.</p>";Equipements, Services, Social;IoT, capteurs, flux;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-07-21T10:31:00+00:00;;;2017-05-14T07:08:03+00:00;2017-05-14T07:08:04+00:00;Mairie de Paris;;1132518;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;965
zones-touristiques-internationales;Zones Touristiques Internationales;"<p>Délimitation des zones touristiques internationales . Les zones touristiques internationales (ZTI) sont des zones où les commerces de détail peuvent déroger au repos dominical des salariés</p><p><strong>Plus d'informations: </strong></p><p>Apur ( Atelier parisien d'urbanisme): <a href=""http://www.apur.org/etude/zones-touristiques-internationales-paris-zti-diagnostic-initial-commerces"">http://www.apur.org/etude/zones-touristiques-inter...</a> </p><p>Ministère de l'Economie, de l'Industrie et des Nouvelles Technologies: <a href=""http://www.economie.gouv.fr/vous-orienter/entreprise/commerce/creation-des-zones-touristiques-internationales-a-paris"">http://www.economie.gouv.fr/vous-orienter/entrepri...</a></p>";Commerces;commerce, tourisme;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-07-27T13:58:33+00:00;;;2017-05-13T15:30:08+00:00;2017-05-13T15:30:09+00:00;;https://www.data.gouv.fr/fr/datasets/zones-touristiques-internationales-a-paris/;12;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2009
arc_innovation;Arc de l'innovation;"<p>Le jeu de données de l’Arc de l’Innovation a pour vocation de recenser l’ensemble des projets innovants situés dans le périmètre de l’Arc, à cheval entre Paris et les territoire limitrophes.</p><p>Ces projets recouvrent différents champs de l’innovation et constituent une communauté d’acteurs et de lieux qui permettent l’émergence de nouveaux projets et la création d’emplois au sein de l’Arc. De l’innovation sociale à la méthode de construction de projets en passant par les nouveaux services urbains, la nouvelle économie et l’enseignement, l’ensemble des grandes dynamiques d’avenir existent et se développent dans ces quartiers qui vont devenir les nouvelles centralités de la métropole parisienne.</p><p>Ce jeu de donnée n’est pas exhaustif et a vocation à être complété / alimenté au fur et à mesure de l’émergence de projets. </p><p>Pour plus d'informations : <a href=""http://arcinnovation.fr/"" target=""_blank"">http://arcinnovation.fr/</a></p>";Urbanisme et Logements;innovation, arc de l'innovation, innovation sociale;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-09-12T10:02:40+00:00;;;2017-09-26T15:44:07+00:00;2017-09-26T15:44:08+00:00;Mairie de Paris / Direction de l'Attractivité et de l'Emploi;;558;;;;;;False;;;2016-03-09;;;;;;continue;;;;;;;;;;;;;;;;;;;;;;;;;;;1489
programmation-numok;Programmation du festival Numok;"<p>Le festival numérique des bibliothèques de Paris revient du 15 au 30 octobre 2016.</p><p>Numok, le festival numérique des bibliothèques de Paris, proposera à tous, petits ou grands, novices ou hyperconnectés, de venir bidouiller, s’amuser et se laisser surprendre ! Au programme de cette deuxième édition : les biens communs, l’art numérique, la création vidéo, le code, l’impression 3D, la musique assistée par ordinateur, et bien d’autres choses encore !</p><p>Pour tout savoir sur le festival Numok : <a href=""https://bibliotheques.paris.fr/Numok"">https://bibliotheques.paris.fr/Numok</a></p>";Culture;festival, bibliothèque, numérique;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-10-04T15:50:12+00:00;;;2017-05-13T15:38:22+00:00;2017-05-13T15:38:24+00:00;Mairie de Paris / Direction des Affaires Culturelles  ;;181;;;;;;False;;;;;;;;;pas de mise à jour;;;;;;;;;;;;;;;;;;;;;;;;;;;1299
comptes-administratifs-principaux-ville-departement;Comptes Administratifs Principaux (Ville-Département);<p>Le Compte Administratif présente les résultats de l’exécution du budget.</p><p>Il retrace donc :</p><p>1) Les inscriptions ou les crédits ouverts se rapportant à chaque chapitre et à chaque compte du budgétaire du budget.</p><p>2) Les réalisations constituées par le total des émissions et annulations de titres de recettes ou de mandats correspondant à la subdivision intéressée du budget. et donc les montants consommés (en dépenses) ou les montants recouvrés (en recettes). Le jeu de données contient, par budget (municipal ou départemental), pour un exercice donné, tous les montants consommés par section budgétaire (investissement ou fonctionnement), en dépenses ou en recettes et par imputation budgétaire.</p><table> <tbody><tr> <td><strong>Nom de la colonne</strong></td> <td><strong>Nature</strong></td> <td><strong>Description</strong></td> </tr> <tr> <td><strong>Exercice   Comptable</strong></td> <td>Texte</td> <td>Année   concernée</td> </tr> <tr> <td><strong>Budget</strong></td> <td>Texte</td> <td>Type de   budget (Budget Général ou Budget Annexe) et nomenclature budgétaire qui s'y   rattachent (M14 pour la commune, M52 pour le département)</td> </tr> <tr> <td><strong>Section   Budgétaire (I/F)</strong></td> <td>Texte</td> <td>Dépenses ou   Recettes relevant de la section de fonctionnement ou la section   d'investissement</td> </tr> <tr> <td><strong>Sens   (Dépense / Recette)</strong></td> <td>Texte</td> <td>Indique   s'il s'agit de dépenses ou de recettes</td> </tr> <tr> <td><strong>Type   d'opération (R/O/I/M)</strong></td> <td>Texte</td> <td>Précise si   cela relève de dépenses réelles (type R) ou de dépenses d'ordre (types   I/O/M). Ces dernières ne provoquent aucun décaissement (pour les dépenses) ou   encaissement (pour les recettes)</td> </tr> <tr> <td><strong>Chapitre   Budgétaire - Clé</strong></td> <td>Texte</td> <td>Indique le   numéro de chapitre concerné selon la nomenclature budgétaire (M14, M52…)   visée</td> </tr> <tr> <td><strong>Chapitre   Budgétaire - Texte</strong></td> <td>Texte</td> <td>Libellé   correspondant au nom du chapitre concerné de la nomenclature budgétaire (M14,   M52…) visée</td> </tr> <tr> <td><strong>Nature   Budgétaire - Clé</strong></td> <td>Texte</td> <td>La nature   précise le type de dépenses et la clé en précise le numéro selon  la nomenclature budgétaire (M14, M52…)   visée</td> </tr> <tr> <td><strong>Nature   Budgétaire - Texte</strong></td> <td>Texte</td> <td>La nature   précise le type de dépenses et le texte en précise le libellé selon  la nomenclature budgétaire (M14, M52…)   visée</td> </tr> <tr> <td><strong>Fonction -   Clé</strong></td> <td>Texte</td> <td>La fonction   indique la destination de la dépense et la clé en précise le numéro   selon  la nomenclature budgétaire (M14,   M52…) visée</td> </tr> <tr> <td><strong>Fonction -   Texte</strong></td> <td>Texte</td> <td>La fonction   indique la destination de la dépense et le texte en précise le libellé   selon  la nomenclature budgétaire (M14,   M52…) visée</td> </tr> <tr> <td><strong>Mandaté /   Titré après régul.</strong></td> <td>Décimale   (monétaire)</td> <td>Le montant   mandaté d'une dépense est le montant qui fait l'objet d'un mandat produit par   l'ordonnateur et transmis au comptable public, avec à l'appui les pièces   justificatives nécessaires pour permettre la prise en charge par le comptable   public et son paiement au créancier. En ce qui concerne le montant titré, il   s'agit du montant qui fait l'objet de l'émission d'un titre produit par   l'ordonnateur puis transmis au comptable public, avec à l'appui les pièces   justificatives nécessaires pour permettre la prise en charge par le comptable   public et le recouvrement de la créance attendue. Le mandaté / titré après   régul. signifie que les mandats / titres ont bien été pris en charge et   acceptés par le comptable public, sans rejet de sa part.  </td> </tr></tbody></table>;Administration et Finances Publiques;budget, compte administratif;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-12-22T16:43:20+00:00;;;2017-05-13T13:54:03+00:00;2017-05-13T13:54:04+00:00;Mairie de Paris / Direction des Finances et des Achats;;23643;;;;;;False;;;;;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;397
comptes-administratifs-budgets-annexes;Comptes Administratifs Budgets Annexes;<p>Le Compte Administratif présente les résultats de l’exécution du budget.</p><p>Il retrace donc :</p><p>1) Les inscriptions ou les crédits ouverts se rapportant à chaque chapitre et à chaque compte du budgétaire du budget.</p><p>2) Les réalisations constituées par le total des émissions et annulations de titres de recettes ou de mandats correspondant à la subdivision intéressée du budget. et donc les montants consommés (en dépenses) ou les montants recouvrés (en recettes). Le jeu de données contient, par budget (municipal ou départemental), pour un exercice donné, tous les montants consommés par section budgétaire (investissement ou fonctionnement), en dépenses ou en recettes et par imputation budgétaire.  </p><p>Les budgets annexes, distincts du budget principal proprement dit, mais votés par l’assemblée délibérante, doivent être établis pour certains services locaux spécialisés. A Paris, on recense 5 Budgets Annexes  : Eau, Assainissement, Fossoyage, Transports Automobiles Municpaux et Aide Sociale à l'Enfance. Ce dernier relève du budget départemental tandis que les 4 premiers relèvent du budget municipal.</p><p>Ces budgets permettent d’établir le coût réel d’un service et de déterminer avec précision le prix à payer par ses seuls utilisateurs pour équilibrer les comptes.</p><table> <tbody><tr> <td><strong>Nom de la colonne</strong></td> <td><strong>Description</strong></td> </tr> <tr> <td><strong>Exercice Comptable</strong></td> <td>Année concernée</td> </tr> <tr> <td><strong>Budget</strong></td> <td>Type de budget (Budget Général   ou Budget Annexe) et nomenclature budgétaire qui s'y rattachent (M14 pour la   commune, M52 pour le département)</td> </tr> <tr> <td><strong>Section Budgétaire (I/F)</strong></td> <td>Dépenses ou Recettes relevant de   la section de fonctionnement ou la section d'investissement</td> </tr> <tr> <td><strong>Sens (Dépense / Recette)</strong></td> <td>Indique s'il s'agit de dépenses   ou de recettes</td> </tr> <tr> <td><strong>Type d'opération (R/O/I/M)</strong></td> <td>Précise si cela relève de   dépenses réelles (type R) ou de dépenses d'ordre (types I/O/M). Ces dernières   ne provoquent aucun décaissement (pour les dépenses) ou encaissement (pour   les recettes)</td> </tr> <tr> <td><strong>Chapitre Budgétaire - Clé</strong></td> <td>Indique le numéro de chapitre   concerné selon la nomenclature budgétaire (M14, M52…) visée</td> </tr> <tr> <td><strong>Chapitre Budgétaire - Texte</strong></td> <td>Libellé correspondant au nom du   chapitre concerné de la nomenclature budgétaire (M14, M52…) visée</td> </tr> <tr> <td><strong>Nature Budgétaire - Clé</strong></td> <td>La nature précise le type de   dépenses et la clé en précise le numéro selon    la nomenclature budgétaire (M14, M52…) visée</td> </tr> <tr> <td><strong>Nature Budgétaire - Texte</strong></td> <td>La nature précise le type de   dépenses et le texte en précise le libellé selon  la nomenclature budgétaire (M14, M52…)   visée</td> </tr> <tr> <td><strong>Mandaté / Titré après régul.</strong></td> <td>Le montant mandaté d'une dépense   est le montant qui fait l'objet d'un mandat produit par l'ordonnateur et   transmis au comptable public, avec à l'appui les pièces justificatives   nécessaires pour permettre la prise en charge par le comptable public et son   paiement au créancier. En ce qui concerne le montant titré, il s'agit du   montant qui fait l'objet de l'émission d'un titre produit par l'ordonnateur   puis transmis au comptable public, avec à l'appui les pièces justificatives   nécessaires pour permettre la prise en charge par le comptable public et le   recouvrement de la créance attendue. Le mandaté / titré après régul. signifie   que les mandats / titres ont bien été pris en charge et acceptés par le   comptable public, sans rejet de sa part.    </td> </tr></tbody></table>;Administration et Finances Publiques;budget, compte administratif;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2016-12-22T16:43:37+00:00;;;2017-10-23T09:28:45+00:00;2017-10-23T09:28:46+00:00;Mairie de Paris / Direction des Finances et des Achats;;1718;;;;;;False;;;;;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;736
